droplet_id,voltage_lo_V,voltage_hi_V,voltage_nom_V,T_lo_C,T_hi_C,T_nom_C,t_fall_avg,t_rise_avg,n_fall_meas,n_rise_meas,v_fall,v_rise,a1_m,q0_C,q_C,n_est,q_over_e,delta_q_V,delta_q_T,delta_q_combined,delta_q_stat,delta_q_total
1,552.0,555.0,553.5,22.2,22.5,22.35,4.1667499999999995,1.84658,4,5,0.00012115929188764091,0.0002935610808468219,1.0927179475110136e-06,2.0807653489247184e-18,1.868434322609155e-18,12,11.66184977959899,5.063544837270719e-21,9.502942326797827e-22,5.151945792389067e-21,2.3541474279962417e-19,2.3547111005994113e-19
2,552.0,555.0,553.5,22.2,22.5,22.35,4.08882,4.5564599999999995,5,5,0.00012264462485291674,0.00016301146744557076,1.0993955445949595e-06,1.441972984618529e-18,1.2956445989773036e-18,8,8.086777521792916,3.511257763091977e-21,6.588462231773904e-22,3.57253543364776e-21,1.6846670518863157e-19,1.6850458084734068e-19
